"","parm_cd","description","characteristicname","measureunitcode","resultsamplefraction","resulttemperaturebasis","resultstatisticalbasis","resulttimebasis","resultweightbasis","resultparticlesizebasis","last_rev_dt"
"1","00004","Stream width, feet","Instream features, est. stream width","ft","","","","","","","2008-02-21"
"2","00010","Temperature, water, degrees Celsius","Temperature, water","deg C","","","","","","","2008-02-21"
"3","00011","Temperature, water, degrees Fahrenheit","Temperature, water","deg F","","","","","","","2010-06-28"
"4","00020","Temperature, air, degrees Celsius","Temperature, air","deg C","","","","","","","2010-06-28"
"5","00021","Temperature, air, degrees Fahrenheit","Temperature, air","deg F","","","","","","","2010-06-28"
"6","00025","Barometric pressure, millimeters of mercury","Barometric pressure","mm/Hg","","","","","","","2008-02-21"
"7","00030","Incident solar radiation intensity, calories per square centimeter per day","Solar irradiation, local","cal/cm2/d","","","","","","","2012-07-02"
"8","00032","Cloud cover, percent","Cloud cover (percent)","%","","","","","","","2008-02-21"
"9","00034","Depth to 1 percent of surface light, feet","Light attenuation, depth at 99%","ft","","","","","","","2012-07-02"
"10","00036","Wind direction, degrees clockwise from true north","Wind direction","Deg","","","","","","","2009-09-24"
"11","00042","Altitude, feet above mean sea level","Altitude","ft abv MSL","","","","","","","2009-09-24"
"12","00045","Precipitation, total, inches","Precipitation","in","Total","","","","","","2009-09-24"
"13","00046","Precipitation, total, inches per week","Precipitation","in/week","Total","","","","","","2010-03-29"
"14","00047","Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury","Partial pressure of dissolved gases","mm/Hg","Dissolved","","","","","","2009-09-24"
"15","00048","Total partial pressure of dissolved gases, water, unfiltered, percent of saturation","Partial pressure of dissolved gases","%","Dissolved","","","","","","2009-09-24"
"16","00050","Evaporation total, inches per day","Evaporation","inches/day","","","","","","","2009-09-24"
"17","00052","Relative humidity, percent","Relative humidity","%","","","","","","","2009-09-24"
"18","00054","Reservoir storage, acre feet","Reservoir storage","ac-ft","","","","","","","2009-09-24"
"19","00055","Stream velocity, feet per second","Stream velocity","ft/sec","","","","","","","2009-09-24"
"20","00059","Flow rate, instantaneous, gallons per minute","Flow rate, instantaneous","gal/min","","","","","","","2008-02-21"
"21","00060","Discharge, cubic feet per second","Stream flow, mean. daily","ft3/s","","","Mean","1 Day","","","2013-07-01"
"22","00061","Discharge, instantaneous, cubic feet per second","Stream flow, instantaneous","ft3/s","","","","","","","2013-07-01"
"23","00064","Mean depth of stream, feet","Depth","ft","","","Mean","","","","2008-02-21"
"24","00065","Gage height, feet","Height, gage","ft","","","","","","","2008-02-21"
"25","00067","Tide stage, code","Tide stage","code","","","","","","","2008-02-21"
"26","00070","Turbidity, water, unfiltered, Jackson Turbidity Units","Turbidity","JTU","Total","","","","","","2011-06-27"
"27","00072","Stream stage, meters","Stream stage","m","","","","","","","2008-02-21"
"28","00075","Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide","Turbidity, hellige","mg/l SiO2","Total","","","","","","2011-06-27"
"29","00076","Turbidity, water, unfiltered, nephelometric turbidity units","Turbidity","NTU","Total","","","","","","2008-02-21"
"30","00077","Transparency, water, in situ, Secchi disc, inches","Water transparency, Secchi disc","in","","","","","","","2008-02-21"
"31","00078","Transparency, water, in situ, Secchi disc, meters","Water transparency, Secchi disc","m","","","","","","","2008-02-21"
"32","00080","Color, water, filtered, platinum cobalt units","Color","PCU","Dissolved","","","","","","2008-02-21"
"33","00081","Apparent color, water, unfiltered, platinum-cobalt units","Apparent color","PCU","Total","","","","","","2008-02-21"
"34","00085","Odor at room temperature, threshold odor number","Odor threshold number","TON","","","","","","","2008-02-21"
"35","00086","Odor at 60 degrees Celsius, threshold odor number","Odor threshold number","TON","","60 deg C","","","","","2008-02-21"
"36","00090","Oxidation reduction potential, reference electrode not specified, millivolts","Oxidation reduction potential (ORP)","mV","","","","","","","2008-02-21"
"37","00094","Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius","Specific conductance","uS/cm @25C","Total","25 deg C","","","","","2009-09-24"
"38","00095","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius","Specific conductance","uS/cm @25C","Total","25 deg C","","","","","2009-09-24"
"39","00096","Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius","Salinity","mg/mL @25C","Total","25 deg C","","","","","2008-02-21"
"40","00117","Precipitation, duration of storm event, minutes","Precipitation event duration","minutes","","","","","","","2009-09-24"
"41","00118","Precipitation, cumulative at given time, location 6, inches","Precipitation","in","","","","","","","2010-03-29"
"42","00119","Precipitation, cumulative at given time, location 5, inches","Precipitation","in","","","","","","","2010-03-29"
"43","00120","Precipitation, cumulative at given time, location 4, inches","Precipitation","in","","","","","","","2010-03-29"
"44","00121","Precipitation, cumulative at given time, location 3, inches","Precipitation","in","","","","","","","2010-03-29"
"45","00122","Precipitation, cumulative at given time, location 2, inches","Precipitation","in","","","","","","","2010-03-29"
"46","00123","Precipitation, cumulative at given time, location 1, inches","Precipitation","in","","","","","","","2010-03-29"
"47","00124","Precipitation, intensity at given time, location 6, inches per hour","Precipitation","in/hr","","","","","","","2010-03-29"
"48","00125","Precipitation, intensity at given time, location 5, inches per hour","Precipitation","in/hr","","","","","","","2010-03-29"
"49","00126","Precipitation, intensity at given time, location 4, inches per hour","Precipitation","in/hr","","","","","","","2010-03-29"
"50","00127","Precipitation, intensity at given time, location 3, inches per hour","Precipitation","in/hr","","","","","","","2010-03-29"
"51","00128","Precipitation, intensity at given time, location 2, inches per hour","Precipitation","in/hr","","","","","","","2010-03-29"
"52","00129","Precipitation, intensity at given time, location 1, inches per hour","Precipitation","in/hr","","","","","","","2010-03-29"
"53","00132","Dry days before precipitation event, days","Dry period preceding precipitation","days","","","","","","","2009-09-24"
"54","00149","Alpha-emitting isotopes of radium, water, filtered, picocuries per liter","Alpha emitting radium isotopes","pCi/L","Dissolved","","","","","","2008-09-23"
"55","00164","Flow, gallons per batch","Flow, gallons per batch","gal/batch","","","","","","","2008-09-23"
"56","00191","Hydrogen ion, water, unfiltered, calculated, milligrams per liter","Hydrogen ion","mg/l","Total","","","","","","2008-09-23"
"57","00193","Precipitation total for defined period, inches","Precipitation","in","Total","","","","","","2010-03-29"
"58","00197","Evaporation, accumulated, inches","Evaporation","in","","","","","","","2009-09-24"
